CZ3-TI7003,CZ3-FI7020,CZ3-TI7041,CZ3-TI7001,CZ3-TI7005,CZ3-PI7101,CZ3-FC7002,CZ3-TI7043,CZ3-PI7008,CZ3-FI7017,CZ3-FI7019,CZ3-TI7007,CZ3-FI7018,CZ3-FC7007,CZ3-FIC7009,CZ3-FI7006
518.6716,2237.917,56.44786,516.212,516.018,0.8480424,169.8794,200.4364,0.8500546,4422.367,2609.432,523.3337,2953.971,162.1573,2.931185,76794.84
519.8046,1924.863,61.43206,519.5499,520.279,0.8491981,171.0956,196.2558,0.8500909,4113.762,2443.042,524.2757,2693.114,163.2648,4.194745,77599.57
519.4552,1882.816,59.85233,519.6736,519.9383,0.8502477,171.3647,194.7146,0.8510513,4311.358,2505.873,524.0688,2649.206,163.125,4.260153,78839.32
519.428,1913.851,61.13839,520.3336,520.5432,0.8497488,171.5579,194.3653,0.8495625,4422.346,2532.621,523.6707,2709.929,164.4252,4.240156,77064.26
515.4967,1799.953,58.35705,516.2712,515.8123,0.8484067,170.757,191.7801,0.8492759,4231.718,2637.654,515.9425,2766.984,166.023,3.843328,73318.91
517.1769,2206.044,63.03966,515.4463,518.1319,0.8470876,170.2172,201.8823,0.8500636,4530.643,2831.558,521.364,3036.208,162.7386,3.690959,75721.34
518.2772,2039.972,59.22327,515.0964,518.7976,0.8466666,170.7688,192.1702,0.8490229,4460.07,2737.724,522.8452,2942.12,159.8138,4.433748,73768.88
518.3256,2103.319,60.00514,519.0116,519.0029,0.8472551,169.6619,193.3302,0.8495625,4247.502,2693.825,522.1013,2864.548,160.3159,4.039819,75459.25
515.5588,1822.1,60.32843,516.1301,515.922,0.8488715,171.3461,193.4747,0.8500533,4198.512,2464.587,518.9717,2612.106,160.9266,4.23887,72369.48
518.939,2017.771,60.19377,518.9943,518.312,0.8490007,169.903,196.7711,0.8498487,4060.83,2437.929,522.1907,2870.498,160.2712,4.295023,75460.7
517.1754,1696.881,64.31702,517.9783,519.4904,0.8465341,169.0908,200.6744,0.8494703,4259.893,2437.114,518.4694,2856.728,160.4536,4.169303,73334.94
515.3659,1734.849,59.60252,515.2414,515.7196,0.8508651,171.208,194.5329,0.8506776,4071.804,2555.657,516.5448,2665.066,166.1503,3.516285,73817.69
516.3763,1669.954,59.2069,517.1935,516.8484,0.8512039,169.6895,191.779,0.8502388,4086.199,2452.527,515.9617,2699.63,165.3454,4.07431,73931.23
517.4897,1724.36,60.93378,517.6076,518.0237,0.8483315,170.746,194.4174,0.8501902,4269.548,2607.051,518.1974,2882.597,164.165,4.125947,75689.59
519.4525,1850.122,61.48048,519.7455,520.2897,0.8499043,170.8647,194.0791,0.8506815,4237.283,2446.185,523.5751,2617.017,165.056,4.230007,77465.7
517.1288,1770.513,61.04081,517.5205,518.2545,0.8463467,170.6912,201.6365,0.8505443,4261.745,2609.612,518.0391,2879.09,160.7164,3.291125,73524.59
519.6266,1865.263,62.26513,519.5934,519.8808,0.8495032,171.1179,196.2407,0.8498962,4030.866,2604.504,521.78,2934.748,159.1001,4.383501,76929.59
518.9741,1855.421,59.0325,520.1022,520.5677,0.8469391,171.8564,193.9585,0.8473388,4277.812,2443.919,523.9539,2633.615,163.9521,4.27466,76607.41
520.4011,1836.419,59.06098,519.3405,520.0687,0.8508036,169.9861,193.0647,0.8494486,3912.906,2537.609,522.6513,2879.848,160.5567,4.413905,77332.26
518.783,1963.544,61.1059,519.6332,518.5406,0.8491014,169.3777,197.4492,0.8502324,4016.842,2392.019,521.8378,2753.983,159.4148,4.138646,77294.45
519.0837,2036.559,60.96435,519.4099,518.2009,0.8493308,170.5232,199.8858,0.849569,3984.157,2526.12,522.2328,2776.486,159.0382,4.410284,76356.63
519.6208,1916.876,59.53345,515.73,519.2596,0.8488035,170.9049,194.321,0.8496006,4161.47,2517.877,523.9557,2760.919,160.8892,4.333557,77415.08
516.426,2161.686,63.392,517.591,516.7521,0.8484048,169.6556,194.6596,0.8493522,4389.028,2668.054,520.845,2960.593,159.5809,4.150386,78772.07
519.9779,1864.587,62.33817,518.9159,520.4266,0.849525,170.6546,196.3572,0.8499838,4056.026,2619.385,522.3491,2941.04,159.7708,4.438159,76324.49
516.8669,2080.067,59.10425,518.175,517.7054,0.8479687,169.9904,193.1771,0.8497781,4254.982,2668.091,521.6839,2844.347,162.1567,3.854306,74906.47
517.3998,1755.378,60.80003,517.5336,517.767,0.8463947,170.2943,200.9759,0.8498237,4209.246,2606.601,518.0308,2895.439,160.2467,3.375028,73440
519.1701,1920.658,61.29978,516.2961,519.5082,0.8492562,171.0979,196.0684,0.8499438,4186.079,2532.154,523.8905,2756.752,161.0515,4.308227,77493.91
519.8851,1893.903,63.61018,519.3391,519.6115,0.849603,171.4553,197.6196,0.850527,4090.465,2415.007,523.6503,2680.64,162.2325,4.080951,76641.65
517.6807,2143.705,60.73497,518.5612,518.2999,0.8485708,170.0992,194.4308,0.8505345,4287.386,2729.435,521.7932,2880.752,157.8593,3.759189,75975.05
519.7981,1942.214,61.05489,518.4673,520.2164,0.8486869,171.6811,195.4333,0.8499914,4228.521,2725.211,522.292,3044.904,159.3383,4.525914,75665.41
518.1185,2156.681,57.86971,518.2787,517.8542,0.8487909,170.0705,201.3137,0.8511844,4416.238,2654.698,521.1761,2887.811,165.5499,3.94126,77528.73
521.3627,2123.567,62.74148,516.8837,521.9703,0.8491825,169.9135,199.0923,0.8501874,4088.666,2766.626,524.3707,2908.626,163.4808,3.588568,76769.48
515.0516,1771.423,60.66688,515.674,515.766,0.8487836,171.3177,193.8515,0.8505846,4250.904,2466.157,516.7984,2681.116,161.4895,4.188364,72862.13
516.7817,2239.234,61.45887,518.582,517.7855,0.8471078,169.5774,200.9087,0.8500431,4649.341,2751.434,520.3942,2971.406,161.1374,4.19589,75546.18
517.7101,2093.5,60.84677,519.4105,518.2795,0.8463352,169.8537,194.6312,0.8499194,4256.669,2668.888,522.2133,2798.664,160.2516,3.550094,75065.95
518.8734,2024.367,61.33335,519.268,518.5842,0.8479265,170.0838,198.1015,0.8497809,4057.954,2521.82,522.5694,2788.104,156.9797,4.310466,74572.98
518.2278,2001.179,61.23349,518.2612,517.7826,0.8475262,170.592,193.5405,0.8498828,4193.192,2417.405,522.3498,2812.39,160.4086,4.368887,74774.88
517.1856,2147.263,61.51956,517.6868,518.2773,0.847954,170.0175,193.8516,0.8493699,4402.572,2641.27,521.674,2977.093,160.7919,4.402195,73922.84
518.0931,2043.881,61.35742,518.7357,518.9424,0.849175,169.6547,196.383,0.8501878,4124.741,2497.399,522.0469,2827.064,161.7659,4.290077,76444.16
520.5439,1917.422,58.46889,518.3734,521.6533,0.8503585,171.5415,195.4461,0.8507426,4143.577,2563.287,523.5352,2870.691,164.3994,4.709162,76127.38
506.3943,2222.311,59.47273,506.3177,509.3129,0.8465461,171.8379,201.0315,0.8495749,4758.195,2888.564,513.6614,3107.01,162.9214,3.418846,66205.76
519.8709,1827.11,59.75873,518.9634,519.4448,0.8499956,170.2858,194.6336,0.8493319,3930.234,2525.283,522.2418,2877.7,161.77,4.260913,76915.73
517.4345,2021.291,61.7568,518.522,518.2621,0.8492113,169.6155,194.5431,0.8498603,4169.911,2449.456,521.7853,2854.398,158.5292,4.813616,77562.61
517.6494,2210.931,62.12953,516.509,518.6312,0.8470312,169.7031,201.6056,0.8504647,4549.57,2796.916,522.4673,3008.137,162.3618,3.758162,75874.02
519.0541,1966.269,61.47124,518.6332,520.4523,0.8485041,171.5978,195.2012,0.8499818,4171.541,2683.19,522.1437,3051.615,157.5695,4.558425,75543.19
